index,Home_Away_BIN,PERIOD,GAME_CLOCK,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,Player_3_PTS_ACC,AVG_DEF_STL,AVG _DEF_BLK,SHOT_CLOCK,T,Y
1,1,1,670,0,25.9,5,0.359,0.365079365,0.412698413,0,0,0
2,1,4,658,0,25.1,7.1,0.271,0.365079365,0.412698413,11.1,0,0
3,1,4,663,0,19.2,1.1,0.263,0.365079365,0.412698413,1.7,0,0
4,1,1,508,0,21.8,5,0.352,0.365079365,0.412698413,1.8,0,0
5,1,3,424,0,25,5.8,0.326,0.365079365,0.412698413,3.6,0,1
6,1,1,662,0,25.1,7.7,0.376,0.365079365,0.412698413,3.9,0,1
7,0,2,492,1,24,4.7,0.273,0.365079365,0.412698413,4.9,0,0
8,0,1,315,0,25,4.4,0.269,0.365079365,0.412698413,6.1,0,0
9,1,1,272,0,21.9,1.8,0.37,0.365079365,0.412698413,7,0,0
10,1,3,348,0,26.2,3.6,0.376,0.365079365,0.412698413,7,0,0
11,0,4,23,2,25.8,1.2,0.398,0.365079365,0.412698413,3.7,0,0
12,0,1,621,0,26.1,3.4,0.398,0.365079365,0.412698413,6,0,0
13,0,3,477,0,23.8,4.4,0.398,0.365079365,0.412698413,8.2,0,0
14,0,4,108,0,24.8,5.6,0.398,0.365079365,0.412698413,11.4,0,0
15,0,1,496,0,24.9,4.8,0.398,0.365079365,0.412698413,12.8,0,0
16,1,4,33,0,24.6,4.9,0.25,0.365079365,0.412698413,8.2,0,1
17,1,4,145,0,25.1,4.3,0.25,0.365079365,0.412698413,8.3,0,0
18,0,4,232,0,25.2,6.4,0.395,0.365079365,0.412698413,8.5,0,0
19,0,3,590,0,24.4,8.3,0.25,0.365079365,0.412698413,13,0,1
20,1,2,74,2,24.7,3.9,0.342,0.365079365,0.412698413,9.4,0,0
21,1,4,560,0,25.2,7.1,0.375,0.365079365,0.412698413,9.6,0,1
22,1,3,557,0,26.4,8.7,0.326,0.365079365,0.412698413,9.7,0,0
23,1,3,349,0,23.5,12.9,0.401,0.365079365,0.412698413,10.5,0,0
24,0,2,678,0,24.4,5.2,0.419,0.365079365,0.412698413,11.6,0,0
25,0,1,264,0,22.7,5.3,0.376,0.365079365,0.412698413,11.9,0,1
26,1,1,589,0,25.1,5.9,0.302,0.365079365,0.412698413,12,0,0
27,0,1,608,0,22.5,4.7,0.383,0.365079365,0.412698413,12,0,0
